Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestDemo,Chrome 69.0.3497.100,,2018-09-21 18:36:30,2018-09-21 18:42:15,5m - 45.023s,FAILED
,,,,,,
Test Cases/Commission Login,Chrome 69.0.3497.100,,2018-09-21 18:36:31,2018-09-21 18:38:13,1m - 42.756s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-21 18:36:31,2018-09-21 18:36:31,0.022s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-21 18:36:31,2018-09-21 18:36:37,6.188s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-21 18:36:37,2018-09-21 18:36:49,11.130s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-21 18:36:49,2018-09-21 18:36:51,2.165s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-21 18:36:51,2018-09-21 18:36:55,4.345s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:36:55,2018-09-21 18:36:55,0.010s,NOT_RUN
setText,Chrome 69.0.3497.100,,2018-09-21 18:36:55,2018-09-21 18:36:59,4.271s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 18:36:59,2018-09-21 18:37:01,2.165s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 18:37:01,2018-09-21 18:37:10,8.230s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 18:37:10,2018-09-21 18:37:13,3.326s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-09-21 18:37:13,2018-09-21 18:37:39,25.523s,PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-09-21 18:37:39,2018-09-21 18:37:41,2.095s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 18:37:41,2018-09-21 18:38:13,32.691s,PASSED
,,,,,,
Test Cases/Deposit Rule exists in the system,Chrome 69.0.3497.100,To verify that Deposit Rule(name of the Deposit Rule) exists in the system,2018-09-21 18:38:13,2018-09-21 18:39:03,49.755s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-21 18:38:13,2018-09-21 18:38:13,0.004s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 18:38:14,2018-09-21 18:38:14,0.002s,NOT_RUN
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:14,2018-09-21 18:38:14,0.001s,NOT_RUN
mouseOver,Chrome 69.0.3497.100,,2018-09-21 18:38:14,2018-09-21 18:38:17,3.154s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:17,2018-09-21 18:38:17,0.001s,NOT_RUN
"Statement - println(""User is able to naviagte to Plan tab"")",Chrome 69.0.3497.100,,2018-09-21 18:38:17,2018-09-21 18:38:17,0.005s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-21 18:38:17,2018-09-21 18:38:20,2.792s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:20,2018-09-21 18:38:20,0.003s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-09-21 18:38:20,2018-09-21 18:38:26,6.189s,PASSED
"Statement - println(""User Naviagted to Rules screen"")",Chrome 69.0.3497.100,,2018-09-21 18:38:26,2018-09-21 18:38:26,0.001s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 18:38:26,2018-09-21 18:38:28,2.409s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:28,2018-09-21 18:38:28,0.002s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-09-21 18:38:28,2018-09-21 18:38:31,2.195s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:31,2018-09-21 18:38:31,0.002s,NOT_RUN
scrollToElement,Chrome 69.0.3497.100,,2018-09-21 18:38:31,2018-09-21 18:38:33,2.071s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:33,2018-09-21 18:38:33,0.001s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-09-21 18:38:33,2018-09-21 18:38:35,2.117s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 18:38:35,2018-09-21 18:38:37,2.199s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:37,2018-09-21 18:38:37,0.001s,NOT_RUN
scrollToElement,Chrome 69.0.3497.100,,2018-09-21 18:38:37,2018-09-21 18:38:40,3.479s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:40,2018-09-21 18:38:40,0.000s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-09-21 18:38:40,2018-09-21 18:38:43,2.145s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:43,2018-09-21 18:38:43,0.001s,NOT_RUN
setText,Chrome 69.0.3497.100,,2018-09-21 18:38:43,2018-09-21 18:38:48,5.492s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:38:48,2018-09-21 18:38:48,0.001s,NOT_RUN
click,Chrome 69.0.3497.100,,2018-09-21 18:38:48,2018-09-21 18:38:50,2.258s,PASSED
"Statement - println(""User search for credit rule successfull, Testcase , Pass"")",Chrome 69.0.3497.100,,2018-09-21 18:38:50,2018-09-21 18:38:50,0.001s,PASSED
globalkeywords.record.RecordNotFound,Chrome 69.0.3497.100,,2018-09-21 18:38:50,2018-09-21 18:39:03,12.755s,PASSED
,,,,,,
Test Cases/Earning Codes exist in the system,Chrome 69.0.3497.100,,2018-09-21 18:39:03,2018-09-21 18:39:52,48.713s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-21 18:39:03,2018-09-21 18:39:03,0.002s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-21 18:39:03,2018-09-21 18:39:03,0.002s,NOT_RUN
mouseOver,Chrome 69.0.3497.100,,2018-09-21 18:39:03,2018-09-21 18:39:07,3.861s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-21 18:39:07,2018-09-21 18:39:07,0.001s,NOT_RUN
"Statement - println(""User is able to naviagte to Administration tab"")",Chrome 69.0.3497.100,,2018-09-21 18:39:07,2018-09-21 18:39:07,0.001s,PASSED
