Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
logs with fail and pass,Chrome 69.0.3497.100,,2018-09-20 16:43:40,2018-09-20 16:48:17,4m - 36.385s,FAILED
,,,,,,
Test Cases/Credit Rule exists in the system - Testing - Correct String,Chrome 69.0.3497.100,To verify that Credit Rule(name of the Credit Rule) exists in the system,2018-09-20 16:43:41,2018-09-20 16:46:11,2m - 29.879s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-20 16:43:41,2018-09-20 16:43:41,0.038s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-20 16:43:42,2018-09-20 16:43:42,0.004s,NOT_RUN
callTestCase,Chrome 69.0.3497.100,,2018-09-20 16:43:42,2018-09-20 16:43:42,0.003s,NOT_RUN
callTestCase,Chrome 69.0.3497.100,,2018-09-20 16:43:42,2018-09-20 16:45:23,1m - 41.155s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:23,2018-09-20 16:45:28,5.003s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-09-20 16:45:28,2018-09-20 16:45:28,0.200s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:28,2018-09-20 16:45:31,3.003s,PASSED
"Statement - println(""User is able to naviagte to Plan tab"")",Chrome 69.0.3497.100,,2018-09-20 16:45:31,2018-09-20 16:45:31,0.003s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-20 16:45:31,2018-09-20 16:45:31,0.105s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:31,2018-09-20 16:45:35,4.003s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:45:35,2018-09-20 16:45:41,5.823s,PASSED
"Statement - println(""User Naviagted to Rules screen"")",Chrome 69.0.3497.100,,2018-09-20 16:45:41,2018-09-20 16:45:41,0.001s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:45:41,2018-09-20 16:45:42,0.487s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:42,2018-09-20 16:45:45,3.004s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:45:45,2018-09-20 16:45:45,0.491s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:45,2018-09-20 16:45:47,2.005s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-20 16:45:47,2018-09-20 16:45:47,0.079s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:47,2018-09-20 16:45:49,2.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:45:49,2018-09-20 16:45:50,0.562s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:45:50,2018-09-20 16:45:50,0.263s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:50,2018-09-20 16:45:52,2.005s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-20 16:45:52,2018-09-20 16:45:52,0.078s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:52,2018-09-20 16:45:54,2.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:45:54,2018-09-20 16:45:54,0.126s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:54,2018-09-20 16:45:56,2.004s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 16:45:56,2018-09-20 16:45:57,0.899s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:45:57,2018-09-20 16:45:59,2.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:45:59,2018-09-20 16:45:59,0.299s,PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 16:45:59,2018-09-20 16:46:11,11.798s,PASSED
,,,,,,
Test Cases/Credit Rule exists in the system - Testing - Wrong String,Chrome 69.0.3497.100,To verify that Credit Rule(name of the Credit Rule) exists in the system,2018-09-20 16:46:11,2018-09-20 16:48:15,2m - 4.013s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-20 16:46:11,2018-09-20 16:46:11,0.003s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-20 16:46:12,2018-09-20 16:46:12,0.002s,NOT_RUN
callTestCase,Chrome 69.0.3497.100,,2018-09-20 16:46:12,2018-09-20 16:46:12,0.001s,NOT_RUN
